character	value_extended	raw_value	window_freq
亏	0.327619	0.015422	99
玄	0.327502	0.015415	1081
氤	0.327360	0.015406	57
络	0.327292	0.015402	118
妒	0.326203	0.015335	199
春	0.325392	0.015285	10417
察	0.325033	0.015263	54
娇	0.324964	0.015259	512
屯	0.324528	0.015232	165
毫	0.324070	0.015204	343
肥	0.324057	0.015203	279
阙	0.323459	0.015167	1168
焉	0.323457	0.015167	331
方	0.322492	0.015107	3694
测	0.322432	0.015104	116
令	0.322399	0.015102	1398
熊	0.322394	0.015101	132
骧	0.322296	0.015095	59
安	0.322241	0.015092	2906
弄	0.321811	0.015066	690
儒	0.321678	0.015057	541
辔	0.321657	0.015056	130
贞	0.320523	0.014987	402
顺	0.320277	0.014971	178
羲	0.320011	0.014955	126
渠	0.319374	0.014916	249
雉	0.318743	0.014877	177
陋	0.318704	0.014875	96
咏	0.318581	0.014867	696
酌	0.318567	0.014866	438
楹	0.318153	0.014841	120
愿	0.317652	0.014810	1425
披	0.317445	0.014798	666
职	0.317216	0.014784	245
坊	0.316473	0.014738	98
霓	0.316026	0.014711	244
冠	0.315682	0.014689	877
斯	0.315483	0.014677	575
趁	0.315470	0.014676	145
冒	0.314971	0.014646	106
涌	0.314888	0.014641	108
治	0.314816	0.014636	107
物	0.314263	0.014602	2146
鼍	0.314201	0.014599	59
霭	0.313948	0.014583	344
牡	0.313839	0.014576	142
尹	0.313808	0.014574	120
恬	0.313310	0.014544	65
谣	0.313213	0.014538	157
顷	0.312808	0.014513	212
谐	0.312464	0.014492	113
辟	0.312038	0.014466	290
唐	0.311650	0.014442	345
固	0.311425	0.014428	429
棋	0.310947	0.014399	314
邪	0.310088	0.014346	151
退	0.309976	0.014339	444
豁	0.309966	0.014339	155
隈	0.308978	0.014278	121
八	0.308934	0.014275	1046
配	0.308718	0.014262	116
洁	0.308616	0.014256	326
饶	0.307785	0.014205	357
属	0.307782	0.014205	580
鞍	0.307562	0.014191	317
买	0.305935	0.014091	446
杭	0.305865	0.014087	62
蹈	0.305734	0.014079	60
盆	0.304215	0.013986	96
圆	0.303856	0.013964	609
夏	0.303544	0.013945	872
甫	0.303512	0.013943	110
受	0.303168	0.013921	538
珮	0.302828	0.013901	214
候	0.301973	0.013848	513
霁	0.301137	0.013797	453
着	0.300646	0.013767	52
柄	0.299997	0.013727	117
养	0.299989	0.013726	554
射	0.299951	0.013724	423
堑	0.299744	0.013711	59
沐	0.298839	0.013656	145
雷	0.298837	0.013656	691
蹀	0.298785	0.013652	53
编	0.298290	0.013622	172
帝	0.297616	0.013581	1743
酣	0.297374	0.013566	297
朵	0.297364	0.013565	144
佛	0.297266	0.013559	394
好	0.296914	0.013538	2616
戒	0.296697	0.013524	181
劚	0.296194	0.013493	81
阜	0.294776	0.013406	74
遇	0.294360	0.013381	821
遨	0.293698	0.013340	61
果	0.293544	0.013331	469
明	0.293229	0.013311	6425
瓯	0.292430	0.013262	94
锦	0.292139	0.013245	1328
荣	0.292080	0.013241	1179
轻	0.291920	0.013231	2587
灾	0.291848	0.013227	103
盘	0.291819	0.013225	938
扪	0.291758	0.013221	68
肘	0.291425	0.013201	67
缀	0.291367	0.013197	228
盼	0.291187	0.013186	66
传	0.291006	0.013175	1927
眄	0.290440	0.013140	64
娱	0.290059	0.013117	234
苑	0.289357	0.013074	788
精	0.289351	0.013073	902
龙	0.289170	0.013062	3589
栋	0.289161	0.013062	152
工	0.288932	0.013048	303
勒	0.288841	0.013042	175
番	0.288625	0.013029	66
尊	0.288420	0.013016	905
墨	0.287977	0.012989	310
荡	0.287955	0.012988	623
辇	0.287833	0.012980	328
姿	0.287394	0.012953	398
势	0.287280	0.012946	734
阆	0.287078	0.012934	61
或	0.286835	0.012919	398
樽	0.286735	0.012913	373
迩	0.286409	0.012893	69
旨	0.286357	0.012890	155
陟	0.286302	0.012886	117
驭	0.286142	0.012877	192
耕	0.285441	0.012834	600
殿	0.285434	0.012833	1344
逍	0.285411	0.012832	215
持	0.285325	0.012826	1021
吐	0.285204	0.012819	378
茗	0.285150	0.012816	150
蛰	0.285120	0.012814	99
俗	0.284506	0.012776	968
遂	0.284258	0.012761	738
甲	0.284213	0.012758	466
渥	0.283745	0.012729	81
戴	0.283663	0.012724	261
郸	0.283620	0.012722	76
武	0.283352	0.012705	1023
邯	0.283254	0.012699	77
局	0.282676	0.012664	156
讶	0.281466	0.012590	141
毕	0.280913	0.012556	274
虬	0.280280	0.012517	107
蕖	0.279999	0.012500	63
削	0.279938	0.012496	130
理	0.279822	0.012489	861
众	0.278659	0.012417	831
动	0.278549	0.012411	2279
丹	0.278357	0.012399	1801
赵	0.278322	0.012397	258
题	0.277067	0.012320	725
幸	0.277059	0.012319	925
喧	0.276755	0.012301	712
序	0.276430	0.012281	169
敌	0.276425	0.012280	304
鱼	0.276379	0.012277	1937
许	0.276328	0.012274	968
致	0.275862	0.012246	484
旃	0.275732	0.012238	79
蝇	0.275066	0.012197	87
抗	0.274623	0.012170	51
业	0.274391	0.012155	762
柔	0.274243	0.012146	251
暇	0.274070	0.012136	297
烂	0.273830	0.012121	259
炭	0.273718	0.012114	66
场	0.273401	0.012095	456
历	0.272871	0.012062	598
醅	0.272582	0.012044	56
笔	0.272178	0.012020	767
术	0.271984	0.012008	303
基	0.271736	0.011992	135
曜	0.271498	0.011978	113
姓	0.271205	0.011960	418
醪	0.271034	0.011949	134
变	0.271030	0.011949	1055
额	0.270904	0.011941	93
牧	0.270901	0.011941	280
珑	0.270734	0.011931	132
繁	0.270653	0.011926	880
渭	0.270438	0.011913	412
翔	0.270240	0.011901	316
裙	0.270227	0.011900	254
士	0.269995	0.011886	1447
视	0.269638	0.011864	363
求	0.269449	0.011852	1209
啭	0.269438	0.011851	145
总	0.269155	0.011834	350
全	0.268998	0.011824	866
觥	0.268966	0.011823	63
地	0.268757	0.011810	4770
阁	0.268678	0.011805	1628
扇	0.268675	0.011805	502
天	0.268603	0.011800	11270
秘	0.268344	0.011784	180
伊	0.268023	0.011765	485
沸	0.267880	0.011756	84
颇	0.267800	0.011751	237
以	0.267640	0.011741	1749
授	0.267502	0.011733	210
洛	0.267352	0.011723	1242
充	0.266932	0.011698	149
骊	0.266906	0.011696	174
珍	0.266698	0.011683	394
输	0.266677	0.011682	202
规	0.266339	0.011661	258
次	0.266221	0.011654	408
杯	0.266040	0.011643	1460
绳	0.265974	0.011639	190
袁	0.265208	0.011592	70
祇	0.265098	0.011585	80
刷	0.263740	0.011502	51
略	0.263713	0.011500	264
躅	0.263497	0.011487	107
俦	0.263231	0.011471	136
笙	0.263201	0.011469	517
宣	0.263007	0.011457	397
练	0.262994	0.011456	215
鼓	0.262834	0.011446	1038
绡	0.262552	0.011429	134
橘	0.262508	0.011426	261
茵	0.262224	0.011409	106
诣	0.261965	0.011393	58
葵	0.261505	0.011365	113
览	0.261256	0.011349	218
乎	0.260780	0.011320	121
傲	0.260032	0.011274	175
薛	0.259982	0.011271	59
瀛	0.259970	0.011270	180
举	0.259752	0.011257	882
座	0.259242	0.011226	420
蝶	0.258679	0.011191	507
蕴	0.258548	0.011183	65
超	0.258532	0.011182	249
替	0.258318	0.011169	81
告	0.258152	0.011159	192
宛	0.257917	0.011144	359
良	0.257912	0.011144	1076
发	0.257868	0.011141	3312
银	0.257701	0.011131	876
戢	0.257355	0.011110	54
装	0.257037	0.011090	227
寿	0.256153	0.011036	512
陛	0.255818	0.011016	84
掾	0.255759	0.011012	65
翼	0.255693	0.011008	528
桃	0.255537	0.010998	1527
保	0.255488	0.010995	301
烹	0.255403	0.010990	163
岩	0.255213	0.010978	1239
始	0.255048	0.010968	1641
契	0.255026	0.010967	232
洪	0.254555	0.010938	273
凰	0.254352	0.010926	375
瑕	0.254044	0.010907	77
鹿	0.254006	0.010904	487
袖	0.253829	0.010894	627
闾	0.253571	0.010878	204
先	0.253498	0.010873	2070
苟	0.252951	0.010840	159
坛	0.252909	0.010837	524
拱	0.252449	0.010809	102
浇	0.252356	0.010803	78
柘	0.252210	0.010794	121
顿	0.252133	0.010789	156
足	0.251594	0.010756	1607
标	0.251221	0.010733	232
疆	0.250849	0.010711	149
掌	0.250840	0.010710	375
矜	0.250545	0.010692	214
缈	0.250505	0.010690	88
个	0.250382	0.010682	265
且	0.250131	0.010667	1897
辈	0.249893	0.010652	266
润	0.249494	0.010627	349
桂	0.249493	0.010627	1362
臣	0.248878	0.010590	1213
藩	0.248604	0.010573	149
蜡	0.248364	0.010558	129
就	0.248228	0.010550	595
愧	0.247954	0.010533	579
虾	0.247875	0.010528	50
粲	0.247802	0.010524	117
笋	0.247664	0.010515	228
簪	0.247394	0.010499	496
案	0.247111	0.010481	194
真	0.246708	0.010456	1805
斗	0.246404	0.010438	1150
仁	0.245890	0.010406	386
耽	0.245880	0.010406	97
悬	0.245864	0.010405	1010
颈	0.245677	0.010393	84
县	0.245160	0.010362	599
梨	0.245130	0.010360	307
罍	0.245048	0.010355	94
纹	0.244932	0.010348	110
幄	0.244919	0.010347	86
皆	0.244843	0.010342	1646
溟	0.244839	0.010342	316
油	0.244796	0.010339	128
渌	0.244733	0.010335	107
玲	0.244710	0.010334	116
